"Game","Type","File","Action","Notes"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\038__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t4010400.00-t4086000.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\039__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t2894.00-t2914.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_RVFC","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_RVFC","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00__v2.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_RVFC","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\002__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t7920.00-t8880.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_RVFC","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\002__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t7920.00-t8880.00__v2.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_RVFC","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\003__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t15480.00-t16260.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_RVFC","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\003__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t15480.00-t16260.00__v2.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_RVFC","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\004__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t17880.00-t18720.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_RVFC","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\004__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t17880.00-t18720.00__v2.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_RVFC","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\005__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t21000.00-t22020.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_RVFC","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\006__2025-09-20__TSC_vs_RVFC__SHOT__t31020.00-t31680.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_RVFC","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\006__2025-09-20__TSC_vs_RVFC__SHOT__t517.00-t528.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_RVFC","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\007__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t31740.00-t32820.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_RVFC","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\007__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t529.00-t547.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_RVFC","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\008__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t33900.00-t36000.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_RVFC","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\008__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t565.00-t600.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_RVFC","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\009__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t36240.00-t37200.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_RVFC","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\009__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t604.00-t620.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_RVFC","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\010__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t40500.00-t41340.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_RVFC","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\010__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t675.00-t689.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_RVFC","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\011__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t41340.00-t42120.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_RVFC","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\011__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t689.00-t702.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_RVFC","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\012__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t44760.00-t45420.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_RVFC","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\012__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t746.00-t757.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_RVFC","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\013__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t49260.00-t51900.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_RVFC","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\013__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t821.00-t865.00.mp4","QUARANTINE","Unparseable name or wrong tag"
