time,in_play,reset,audio_rms,hf_ratio,flow
2136.1,False,False,1.0,0.032444052,0.19496556553371655
2136.2,False,False,1.0,0.02657266,0.26487624603879756
2136.3,False,False,1.0,0.0,0.2378402158950575
2136.4,False,False,1.0,0.006370159,0.21623085847353635
2136.5,False,False,1.0,0.07027702,0.1673559775003158
2136.6,False,False,0.9817636,0.0,0.18963973823587096
2136.7,False,False,0.9914848,0.22161311,0.12810582897697884
2136.8,False,False,0.9708985,0.0,0.2607147943845159
2136.9,False,False,0.9560447,0.4404859,0.38830517565553396
2137.0,False,False,0.95412886,0.86482483,0.4254241015966246
2137.1,False,False,0.9444396,0.0,0.6711073897124997
2137.2,True,False,0.95796597,0.0021069306,1.0541212573708092
2137.3,True,False,0.93469274,0.11256451,1.2657898229910916
2137.4,True,False,0.89653,0.002272558,1.8024862901124727
2137.5,True,False,0.8433065,0.007168187,2.369829352849271
2137.6,True,False,0.81543064,0.01646629,2.921267811701455
2137.7,True,False,0.7974711,0.14021163,3.5436248913291957
2137.8,True,False,0.7673568,0.17740369,3.5952799923012564
2137.9,True,False,0.86748606,0.2172183,3.8891258154800656
2138.0,True,False,0.9015531,0.026234092,3.928901596126227
2138.1,True,False,0.8928819,0.08873316,3.9475316577293205
2138.2,True,False,0.93759763,0.0030215608,3.8039341981745487
2138.3,True,False,0.8596895,0.05729019,3.364778647922326
2138.4,True,False,0.8814737,0.0,3.04050829800015
2138.5,True,False,0.9259207,0.029595535,2.4731441910626937
2138.6,True,False,0.96597934,0.05841777,2.0539278345404046
2138.7,True,False,0.91927534,0.0,1.390390655902459
2138.8,True,False,0.8603442,0.018191358,0.9180036285776317
2138.9,False,False,0.83273816,0.0,0.5770499338678233
2139.0,False,False,0.7320022,0.0,0.5124202463945012
2139.1,False,False,0.71666294,0.0,0.35912586667352336
2139.2,False,False,0.62389255,0.0,0.3057252829556941
2139.3,False,False,0.5530977,0.0,0.12920132063267062
2139.4,False,False,0.49429128,0.0,0.13717737580110573
2139.5,False,False,0.46687374,0.0,0.12848088703869312
2139.6,False,False,0.4733192,0.0,0.21333314827108463
2139.7,False,False,0.4785698,0.059946626,0.17441203641206535
2139.8,False,False,0.50894547,0.0,0.2324085707115423
2139.9,False,False,0.5517773,0.0,0.1881424451949007
2140.0,False,False,0.5602744,0.016635962,0.23933324669891223
2140.1,False,False,0.5373162,0.014163976,0.168846779505893
