clip_path,portrait_path,render_done_at,render_preset,upscaled_path,upscale_done_at,branded_path,follow_brand_done_at,last_error,last_run_at
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\005__2025-09-20__TSC_vs_Greenwood__WIN_FREE_KICK__t32280.00-t33180.00.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\005__2025-09-20__TSC_vs_Greenwood__WIN_FREE_KICK__t32280.00-t33180.00__CINEMATIC_portrait_FINAL.mp4,2026-02-14T00:35:19+00:00,cinematic,,,,,source not found,2026-02-17T04:14:56+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\006__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t41100.00-t42480.00.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\006__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t41100.00-t42480.00__CINEMATIC_portrait_FINAL.mp4,2026-02-14T00:38:59+00:00,cinematic,,,,,source not found,2026-02-17T04:14:56+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\007__2025-09-20__TSC_vs_Greenwood__DRIBBLING_SHOT__t44340.00-t45120.00.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\007__2025-09-20__TSC_vs_Greenwood__DRIBBLING_SHOT__t44340.00-t45120.00__CINEMATIC_portrait_FINAL.mp4,2026-02-14T00:41:13+00:00,cinematic,,,,,source not found,2026-02-17T04:14:56+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\008__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t45240.00-t46980.00.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\008__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t45240.00-t46980.00__CINEMATIC_portrait_FINAL.mp4,2026-02-14T00:45:52+00:00,cinematic,,,,,source not found,2026-02-17T04:14:56+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\009__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t48120.00-t49080.00.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\009__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t48120.00-t49080.00__CINEMATIC_portrait_FINAL.mp4,2026-02-14T00:48:29+00:00,cinematic,,,,,source not found,2026-02-17T04:14:56+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\010__2025-09-20__TSC_vs_Greenwood__DEFENSE_BUILD_UP__t49260.00-t50880.00.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\010__2025-09-20__TSC_vs_Greenwood__DEFENSE_BUILD_UP__t49260.00-t50880.00__CINEMATIC_portrait_FINAL.mp4,2026-02-14T00:52:48+00:00,cinematic,,,,,source not found,2026-02-17T04:14:56+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\011__2025-09-20__TSC_vs_Greenwood__GOAL__t54120.00-t54780.00.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\011__2025-09-20__TSC_vs_Greenwood__GOAL__t54120.00-t54780.00__CINEMATIC_portrait_FINAL.mp4,2026-02-14T00:54:43+00:00,cinematic,,,,,source not found,2026-02-17T04:14:56+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\012__2025-09-20__TSC_vs_Greenwood__BUILD_SHOT__t58380.00-t59220.00.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\012__2025-09-20__TSC_vs_Greenwood__BUILD_SHOT__t58380.00-t59220.00__CINEMATIC_portrait_FINAL.mp4,2026-02-14T00:57:02+00:00,cinematic,,,,,source not found,2026-02-17T04:14:56+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\013__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t59280.00-t60060.00.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\013__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t59280.00-t60060.00__CINEMATIC_portrait_FINAL.mp4,2026-02-14T00:59:14+00:00,cinematic,,,,,source not found,2026-02-17T04:14:56+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\014__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t1063.00-t1073.00_portrait_POST.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\014__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t1063.00-t1073.00_portrait_POST__CINEMATIC_portrait_FINAL.mp4,2026-02-14T01:00:59+00:00,cinematic,,,,,source not found,2026-02-17T04:14:56+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\015__2025-09-20__TSC_vs_Greenwood__SHOT__t1081.00-t1088.00_portrait_POST.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\015__2025-09-20__TSC_vs_Greenwood__SHOT__t1081.00-t1088.00_portrait_POST__CINEMATIC_portrait_FINAL.mp4,2026-02-14T01:02:17+00:00,cinematic,,,,,source not found,2026-02-17T04:14:56+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\016__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t1195.00-t1209.00_portrait_POST.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\016__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t1195.00-t1209.00_portrait_POST__CINEMATIC_portrait_FINAL.mp4,2026-02-14T01:04:36+00:00,cinematic,,,,,source not found,2026-02-17T04:14:56+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\017__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t1212.00-t1224.00_portrait_POST.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\017__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t1212.00-t1224.00_portrait_POST__CINEMATIC_portrait_FINAL.mp4,2026-02-14T01:06:39+00:00,cinematic,,,,,source not found,2026-02-17T04:14:56+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\018__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_GOAL__t1292.00-t1329.00_portrait_POST.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\018__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_GOAL__t1292.00-t1329.00_portrait_POST__CINEMATIC_portrait_FINAL.mp4,2026-02-14T01:12:29+00:00,cinematic,,,,,source not found,2026-02-17T04:14:56+00:00
