"master_path","clip_name","label","t_start_s","t_end_s","source_path"
"C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_RVFC/MASTER.mp4","013__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t59280.00-t60060.00.mp4","TSC_vs_Greenwood__PRESSURE_SHOT","59280","60060","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\013__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t59280.00-t60060.00.mp4"
"C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_Greenwood/MASTER.mp4","013__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t988.00-t1001.00_portrait_POST.mp4","TSC_vs_Greenwood__PRESSURE_SHOT","988","1001","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\013__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t988.00-t1001.00_portrait_POST.mp4"
"C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_Greenwood/MASTER.mp4","014__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t1063.00-t1073.00_portrait_POST.mp4","TSC_vs_Greenwood__PRESSURE_SHOT","1063","1073","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\014__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t1063.00-t1073.00_portrait_POST.mp4"
"C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_RVFC/MASTER.mp4","014__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t63780.00-t64380.00.mp4","TSC_vs_Greenwood__PRESSURE_SHOT","63780","64380","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\014__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t63780.00-t64380.00.mp4"
"C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_Greenwood/MASTER.mp4","015__2025-09-20__TSC_vs_Greenwood__SHOT__t1081.00-t1088.00_portrait_POST.mp4","TSC_vs_Greenwood__SHOT","1081","1088","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\015__2025-09-20__TSC_vs_Greenwood__SHOT__t1081.00-t1088.00_portrait_POST.mp4"
"C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_RVFC/MASTER.mp4","015__2025-09-20__TSC_vs_Greenwood__SHOT__t64860.00-t65280.00.mp4","TSC_vs_Greenwood__SHOT","64860","65280","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\015__2025-09-20__TSC_vs_Greenwood__SHOT__t64860.00-t65280.00.mp4"
"C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_Greenwood/MASTER.mp4","016__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t1195.00-t1209.00_portrait_POST.mp4","TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT","1195","1209","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\016__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t1195.00-t1209.00_portrait_POST.mp4"
"C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_RVFC/MASTER.mp4","016__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t71700.00-t72540.00.mp4","TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT","71700","72540","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\016__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t71700.00-t72540.00.mp4"
"C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_Greenwood/MASTER.mp4","017__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t1212.00-t1224.00_portrait_POST.mp4","TSC_vs_Greenwood__PRESSURE_SHOT","1212","1224","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\017__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t1212.00-t1224.00_portrait_POST.mp4"
"C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_RVFC/MASTER.mp4","017__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t72720.00-t73440.00.mp4","TSC_vs_Greenwood__PRESSURE_SHOT","72720","73440","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\017__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t72720.00-t73440.00.mp4"
"C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_Greenwood/MASTER.mp4","018__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_GOAL__t1292.00-t1329.00_portrait_POST.mp4","TSC_vs_Greenwood__BUILD_UP_PLAY_GOAL","1292","1329","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\018__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_GOAL__t1292.00-t1329.00_portrait_POST.mp4"
"C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_RVFC/MASTER.mp4","018__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_GOAL__t77520.00-t79740.00.mp4","TSC_vs_Greenwood__BUILD_UP_PLAY_GOAL","77520","79740","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\018__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_GOAL__t77520.00-t79740.00.mp4"
