"index","date","status","atomic","master","action"
"100","2025-09-20","MISSING_MASTER",".\out\atomic_clips\100__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
"5","2025-09-13","HAVE","C:\Users\scott\soccer-video\out\atomic_clips\2025-10-12__TSC_SLSG_FallFestival\005__GOAL__t1.855.00-t1.870.00.mp4",,
"48","2025-09-13","MISSING_MASTER",".\out\atomic_clips\048__TSC_vs_NEOFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-13__t1705-1721.mp4",,"none"
"136","2025-10-07","MISSING_MASTER",".\out\atomic_clips\136__HOME_vs_AWAY__SHOT__2025-10-07__t1247.8-1259.2.mp4",,"none"
"218","2025-09-20","MISSING_MASTER",".\out\atomic_clips\218__TSC_vs_Greenwood__PRESSURE_GOAL__2025-09-20__t2729-2749.mp4",,"none"
"39","2025-09-13","MISSING_MASTER",".\out\atomic_clips\039__TSC_vs_NEOFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-13__t1705-1721.mp4",,"none"
"202","2025-09-20","MISSING_MASTER",".\out\atomic_clips\202__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__2025-09-20__t2134-2152.mp4",,"none"
"118","2025-10-04","MISSING_MASTER",".\out\atomic_clips\118__TSC_vs_FC_Tulsa_Black__BUILD_UP__2025-10-04__t421-449.mp4",,"none"
"159","2025-10-04","MISSING_MASTER",".\out\atomic_clips\159__TSC_vs_FC_Tulsa_Black__BUILD_UP_PLAY__2025-10-04__t1290-1306.mp4",,"none"
"149","2025-09-20","MISSING_MASTER",".\out\atomic_clips\149__TSC_vs_Greenwood__GOAL__2025-09-20__t902-913.mp4",,"none"
"81","2025-09-20","MISSING_MASTER",".\out\atomic_clips\081__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
"58","2025-09-20","MISSING_MASTER",".\out\atomic_clips\058__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
"57","2025-09-13","MISSING_MASTER",".\out\atomic_clips\057__TSC_vs_NEOFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-13__t1705-1721.mp4",,"none"
"56","2025-09-20","MISSING_MASTER",".\out\atomic_clips\056__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
"98","2025-09-20","MISSING_MASTER",".\out\atomic_clips\098__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
"137","2025-09-20","MISSING_MASTER",".\out\atomic_clips\137__TSC_vs_Greenwood__PRESSURE_SHOT__2025-09-20__t754-783.mp4",,"none"
"109","2025-09-20","MISSING_MASTER",".\out\atomic_clips\109__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
"93","2025-09-20","MISSING_MASTER",".\out\atomic_clips\093__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
"97","2025-09-20","MISSING_MASTER",".\out\atomic_clips\097__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
