frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
263,71.2,726.1,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,46.4,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=3|pb_zfit|keepin_prop=0.20|keepin_zoom=1.350|edge_zoom=0.811|bounds
264,68.9,726.6,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,44.1,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=3|pb_zfit|keepin_prop=0.19|keepin_zoom=1.350|edge_zoom=0.808|bounds
265,66.6,727.0,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,41.8,0,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.18|keepin_zoom=1.350|edge_zoom=0.805|bounds
266,64.4,727.4,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,39.6,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=4|pb_zfit|keepin_prop=0.17|keepin_zoom=1.350|edge_zoom=0.802|bounds
267,62.4,727.7,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,37.6,0,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.16|keepin_zoom=1.350|edge_zoom=0.799|bounds
268,60.4,728.1,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,35.6,0,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.15|keepin_zoom=1.350|edge_zoom=0.796|bounds
269,58.6,728.4,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,33.8,0,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.14|keepin_zoom=1.350|edge_zoom=0.793|bounds
270,56.9,728.8,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,32.1,0,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.13|keepin_zoom=1.350|edge_zoom=0.791|bounds
271,55.3,729.1,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,30.5,0,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.12|keepin_zoom=1.350|edge_zoom=0.789|bounds
272,53.8,729.4,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,29.0,0,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.12|keepin_zoom=1.350|edge_zoom=0.786|bounds
273,52.5,729.6,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,27.7,0,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.11|keepin_zoom=1.350|edge_zoom=0.784|bounds
274,51.2,729.9,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,26.4,0,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.11|keepin_zoom=1.350|edge_zoom=0.782|bounds
275,50.1,730.2,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,25.3,0,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.10|keepin_zoom=1.350|edge_zoom=0.781|bounds
276,49.1,730.4,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,24.3,0,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.10|keepin_zoom=1.350|edge_zoom=0.779|bounds
277,48.2,730.7,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,23.4,0,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.09|keepin_zoom=1.350|edge_zoom=0.778|bounds
278,47.4,730.9,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,22.6,0,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.08|keepin_zoom=1.350|edge_zoom=0.777|bounds
279,46.8,731.1,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,22.0,0,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.08|keepin_zoom=1.350|edge_zoom=0.777|bounds
280,46.3,731.4,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,21.5,0,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.06|keepin_zoom=1.350|edge_zoom=0.777|bounds
281,46.0,731.7,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,21.2,0,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.04|keepin_zoom=1.350|edge_zoom=0.779|bounds
282,45.8,732.0,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,21.0,0,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.783|bounds
283,45.8,732.3,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,21.0,1,0,shot_pb=1.00|flight_commit=1.00|pb_zfit|speed|edge_zoom=0.795|bounds
284,45.9,732.7,interp,0.50,328.8,584.5,0.0,0.0,657.5,1168.9,1,21.1,1,0,shot_pb=1.00|flight_commit=1.00|pb_zfit|speed|edge_zoom=0.750|bounds
285,46.2,733.2,yolo,0.23,328.8,584.5,0.0,0.0,657.5,1168.9,1,21.4,1,0,shot_pb=1.00|flight_commit=1.00|pb_zfit|speed|edge_zoom=0.750|bounds
286,46.9,733.8,interp,0.38,328.8,584.5,0.0,0.0,657.5,1168.9,1,22.1,1,0,shot_pb=1.00|flight_commit=1.00|pb_zfit|speed|edge_zoom=0.750|bounds
287,47.8,734.6,interp,0.38,328.8,584.5,0.0,0.0,657.5,1168.9,1,23.0,1,0,shot_pb=1.00|flight_commit=1.00|pb_zfit|speed|edge_zoom=0.750|bounds
288,48.7,735.3,interp,0.38,328.8,584.5,0.0,0.0,657.5,1168.9,1,23.9,1,0,shot_pb=1.00|flight_commit=1.00|pb_zfit|speed|edge_zoom=0.750|bounds
289,49.8,736.2,interp,0.38,328.8,584.5,0.0,0.0,657.5,1168.9,1,25.0,1,0,shot_pb=1.00|flight_commit=1.00|pb_zfit|speed|edge_zoom=0.750|bounds
290,50.9,737.1,interp,0.38,328.8,584.5,0.0,0.0,657.5,1168.9,1,26.1,1,0,shot_pb=1.00|flight_commit=1.00|pb_zfit|speed|edge_zoom=0.750|bounds
291,52.1,738.0,interp,0.38,328.8,584.5,0.0,0.0,657.5,1168.9,1,27.3,1,0,shot_pb=1.00|flight_commit=1.00|pb_zfit|speed|edge_zoom=0.750|bounds
292,53.4,738.9,interp,0.38,328.8,584.5,0.0,0.0,657.5,1168.9,1,28.6,1,0,shot_pb=1.00|flight_commit=1.00|pb_zfit|speed|edge_zoom=0.750|bounds
293,54.7,739.9,interp,0.38,328.8,584.5,0.0,0.0,657.5,1168.9,1,29.9,1,0,shot_pb=1.00|flight_commit=1.00|pb_zfit|speed|edge_zoom=0.750|bounds
294,56.0,740.8,interp,0.38,328.8,584.5,0.0,0.0,657.5,1168.9,1,31.2,1,0,shot_pb=1.00|flight_commit=1.00|pb_zfit|speed|edge_zoom=0.750|bounds
295,57.4,741.8,interp,0.38,328.8,584.5,0.0,0.0,657.5,1168.9,1,32.6,1,0,shot_pb=1.00|flight_commit=1.00|pb_zfit|speed|edge_zoom=0.750|bounds
296,58.7,742.8,interp,0.38,328.8,584.5,0.0,0.0,657.5,1168.9,1,33.9,1,0,shot_pb=1.00|flight_commit=1.00|pb_zfit|speed|edge_zoom=0.750|bounds
297,60.1,743.8,interp,0.38,328.8,584.5,0.0,0.0,657.5,1168.9,1,35.3,1,0,shot_pb=1.00|flight_commit=1.00|pb_zfit|speed|edge_zoom=0.750|bounds
298,61.5,744.8,interp,0.38,328.8,584.5,0.0,0.0,657.5,1168.9,1,36.7,1,0,shot_pb=1.00|flight_commit=1.00|pb_zfit|speed|edge_zoom=0.750|bounds
299,63.0,745.9,interp,0.38,328.8,584.5,0.0,0.0,657.5,1168.9,1,38.2,1,0,shot_pb=1.00|flight_commit=1.00|pb_zfit|speed|edge_zoom=0.750|bounds
300,64.4,746.9,interp,0.38,328.8,584.5,0.0,0.0,657.5,1168.9,1,39.6,1,0,shot_pb=1.00|flight_commit=1.00|pb_zfit|speed|edge_zoom=0.750|bounds
301,65.8,747.9,interp,0.38,328.8,584.5,0.0,0.0,657.5,1168.9,1,41.0,1,0,shot_pb=1.00|flight_commit=1.00|pb_zfit|speed|edge_zoom=0.750|bounds
302,67.3,748.9,interp,0.38,328.8,584.5,0.0,0.0,657.5,1168.9,1,42.5,1,0,shot_pb=1.00|flight_commit=1.00|pb_zfit|speed|edge_zoom=0.750|bounds
